author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
А101,developer,https://www.cian.ru/sale/flat/306737412/,Москва,sale,flat,6,13,1,37.2,-1,0,10293175,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая, черновая, чистовая","14,1 м²","13,4 м²",+74951379021,,м. Бунинская аллея,,Бунинская аллея,Скандинавия
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
VESPER,developer,https://www.cian.ru/sale/flat/307211222/,Москва,sale,flat,8,9,1,57.6,-1,0,117936000,2023,-1,Монолитный,-1,"Без отделки, чистовая с мебелью",-1,-1,+74951387184,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
hoomie,real_estate_agent,https://www.cian.ru/sale/flat/305679592/,Москва,sale,flat,7,20,1,43.09,-1,0,20252300,2024,-1,-1,-1,-1,"10,6 м²","18,7 м²",+79652908569,Даниловский,Автозаводская ,26,Тульская,FORST
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/306709200/,Москва,sale,flat,15,15,1,40.6,-1,0,11890000,2018,-1,-1,-1,-1,20 м²,10 м²,+79660471558,,бульвар Веласкеса,3к3,Прокшино,
MR Group,developer,https://www.cian.ru/sale/flat/308909121/,Москва,sale,flat,6,13,1,85.04,-1,0,130383328,2025,-1,Монолитно-кирпичный,-1,Чистовая,"45,8 м²","15,8 м²",+74951387239,Мещанский,Садовая-Сухаревская ,14,Цветной бульвар,Клубный дом Forum
Космополис,real_estate_agent,https://www.cian.ru/sale/flat/305881394/,Москва,sale,flat,1,12,1,38.9,-1,0,12690000,1978,-1,-1,-1,-1,21 м²,9 м²,+79660471558,Таганский, Талалихина,3,Пролетарская,
Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/305957125/,Москва,sale,flat,2,12,1,51.2,-1,0,31300000,2022,-1,-1,-1,-1,33 м²,5 м²,+79645653269,Сокол, Врубеля,4к1,Сокол,Врубеля 4
ХОРЕКА ИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/305693861/,Москва,sale,flat,22,22,1,15.8,-1,0,7890000,1980,-1,-1,-1,-1,11 м²,3 м²,+79647824573,Тропарево-Никулино,Ленинский проспект,158,Юго-Западная,
Regions Development,developer,https://www.cian.ru/sale/flat/308234966/,Москва,sale,flat,8,16,1,37.8,-1,0,18192215,2027,-1,Монолитно-кирпичный,-1,Без отделки,"32,8 м²",-1,+74951370547,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/304268316/,Москва,sale,flat,6,7,1,40.8,-1,0,11500000,2023,-1,-1,-1,-1,-1,10 м²,+79067947242,Солнцево,Родниковая ,5А,Солнцево,
Stapler Estate,real_estate_agent,https://www.cian.ru/sale/flat/307745732/,Москва,sale,flat,25,52,1,28.9,-1,0,21500000,2020,-1,-1,-1,-1,"18,9 м²",5 м²,+79850407410,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
Арт Риэлти,real_estate_agent,https://www.cian.ru/sale/flat/297758518/,Москва,sale,flat,8,21,1,44.5,-1,0,22100000,2024,-1,-1,-1,Без отделки,-1,"18,8 м²",+79645655918,Хорошево-Мневники,Жилой комплекс остров,2-й кв-л,Мнёвники,Остров
Основа,developer,https://www.cian.ru/sale/flat/299250693/,Москва,sale,flat,11,29,1,30.1,-1,0,12837650,2025,-1,Монолитный,-1,"Без отделки, предчистовая, черновая, чистовая","10,5 м²","11,5 м²",+74951377247,Черемушки, Наметкина,вл10,Новые Черёмушки,Nametkin Tower
Regions Development,developer,https://www.cian.ru/sale/flat/308071691/,Москва,sale,flat,7,17,1,45.31,-1,0,21723057,2024,-1,Монолитно-кирпичный,-1,Без отделки,"20,3 м²",-1,+74951370547,Преображенское,Жилой комплекс Преображенская площадь,,Преображенская площадь,Преображенская площадь
ФСК Агент,real_estate_agent,https://www.cian.ru/sale/flat/308359622/,Москва,sale,flat,7,12,1,27.7,-1,0,7990000,2024,-1,-1,-1,Чистовая,"12,1 м²","7,7 м²",+79891802810,Молжаниновский,Ленинградское шоссе,228к2,Молжаниново,1-й Ленинградский
А101,developer,https://www.cian.ru/sale/flat/306741319/,Москва,sale,flat,2,16,1,37.5,-1,0,20328519,2025,-1,Монолитно-кирпичный,-1,"Предчистовая, чистовая","13,5 м²","10,7 м²",+74951379043,Сокол, Зорге,25С2,Октябрьское поле,Дом на Зорге
Century 21 Premium Property,real_estate_agent,https://www.cian.ru/sale/flat/303275078/,Москва,sale,flat,9,16,1,42.4,-1,0,18500000,2023,-1,-1,-1,-1,"16,3 м²",14 м²,+79057143761,Даниловский, Родченко,2,ЗИЛ,ЗИЛАРТ
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307822842/,Москва,sale,flat,3,25,1,40.1,-1,0,14900000,2020,-1,-1,-1,-1,-1,"18,8 м²",+79645646095,Южное Медведково,Полярная ,27к2,Медведково,Полярная 25
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305283157/,Москва,sale,flat,8,16,1,48.4,-1,0,15000000,1994,-1,-1,-1,-1,-1,16 м²,+79660592757,Кунцево,Рублевское шоссе,20К1,Молодёжная,
Парадайс,real_estate_agent,https://www.cian.ru/sale/flat/307213696/,Москва,sale,flat,6,19,1,37.5,-1,0,8500000,2024,-1,-1,-1,Чистовая,13 м²,"12,6 м²",+79607139846,,,к1.1,Бунинская аллея,Бунинские Кварталы ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/307408303/,Москва,sale,flat,2,18,1,32.5,-1,0,9500000,2024,-1,-1,-1,-1,"9,5 м²","16,2 м²",+79647821530,Южное Бутово,,2.3,Бутово,Никольские Луга ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/305972603/,Москва,sale,flat,9,18,1,38.8,-1,0,10100000,2019,-1,-1,-1,-1,-1,10 м²,+79636283088,Бирюлево Восточное,6-я Радиальная ,7/6к3,Каспийская,Царицыно-2
ГОРОДА,real_estate_agent,https://www.cian.ru/sale/flat/308800895/,Москва,sale,flat,9,16,1,36.4,-1,0,11200000,2024,-1,-1,-1,Без отделки,"14,1 м²","11,4 м²",+79660528298,,,5.1.3,Прокшино,Прокшино ЖК
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306234901/,Москва,sale,flat,12,12,1,34.3,-1,0,11300000,1974,-1,-1,-1,-1,-1,9 м²,+79651092262,Коньково, Введенского,12К1,Беляево,
Isaev Estate,real_estate_agent,https://www.cian.ru/sale/flat/308188157/,Москва,sale,flat,10,30,1,42.0,-1,0,16600000,2012,-1,-1,-1,-1,14 м²,18 м²,+79100159693,Богородское,бульвар Маршала Рокоссовского,6к1,Бульвар Рокоссовского,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/306560406/,Москва,sale,flat,20,26,1,38.5,-1,0,16900000,2023,-1,-1,-1,Без отделки,"12,2 м²","18,3 м²",+79652705159,Лефортово, Крузенштерна,12к3,Авиамоторная,Символ
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/302203106/,Москва,sale,flat,8,19,1,30.8,-1,0,20400000,2018,-1,-1,-1,-1,19 м²,6 м²,+79857048937,Беговой,Ленинградский проспект,29к3,Динамо,Царская площадь
Homeapp,real_estate_agent,https://www.cian.ru/sale/flat/308678896/,Москва,sale,flat,6,46,1,45.7,-1,0,27000000,2023,-1,-1,-1,-1,"12,3 м²","20,7 м²",+79857048937,Даниловский,Дубининская ,59,Серпуховская,Павелецкая Сити
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/280751407/,Москва,sale,flat,4,7,1,33.56,-1,0,5600000,2024,-1,-1,-1,Без отделки,"12,5 м²","10,5 м²",+79154398945,, Луговая,,Рассказовка,Эдельвейс
Самолет,developer,https://www.cian.ru/sale/flat/308655268/,Москва,sale,flat,12,17,1,33.46,-1,0,6778760,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","11,4 м²","10,2 м²",+74999228924,,,к12,Филатов Луг,Цветочные Поляны ЖК
,,https://www.cian.ru/sale/flat/298336852/,Москва,sale,flat,3,9,1,42.8,-1,0,6762400,2024,-1,-1,-1,Без отделки,-1,-1,+74951376364,,,к5Б,Крёкшино,Эдельвейс ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308657263/,Москва,sale,flat,9,9,1,35.64,-1,0,7131707,2025,-1,-1,-1,Без отделки,"15,1 м²","11,3 м²",+74951375212,,,к3,Силикатная,Подольские Кварталы ЖК
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/288557638/,Москва,sale,flat,1,7,1,25.7,-1,0,7453000,-1,-1,-1,-1,-1,"15,7 м²",5 м²,+79672094035,Южнопортовый,6-я Кожуховская ,24,Кожуховская,
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/304612074/,Москва,sale,flat,1,7,1,18.9,-1,0,7495000,-1,-1,-1,-1,-1,"10,9 м²",3 м²,+79672094035,Южнопортовый,6-я Кожуховская ,24,Кожуховская,
,,https://www.cian.ru/sale/flat/308762092/,Москва,sale,flat,2,16,1,30.1,-1,0,7570373,2026,-1,Монолитный,-1,"Без отделки, предчистовая, чистовая",-1,-1,+78005116552,поселок Газопровод, Лесные Поляны 5-я,,Корниловская,Смарт Гарден ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308966861/,Москва,sale,flat,3,13,1,32.54,-1,0,7669573,2024,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","9,4 м²","15,4 м²",+74951374954,,,к13,Щербинка,Алхимово ЖК
ПИК,developer,https://www.cian.ru/sale/flat/306670760/,Москва,sale,flat,14,14,1,33.7,-1,0,7824465,2024,-1,Панельный,-1,Чистовая,"13,8 м²","10,7 м²",+74951375440,, Усадебный Парк,7к1,Филатов Луг,Середневский лес
,,https://www.cian.ru/sale/flat/308762122/,Москва,sale,flat,3,16,1,30.61,-1,0,7939836,2026,-1,Монолитный,-1,"Без отделки, предчистовая, чистовая",-1,-1,+78005116552,поселок Газопровод, Лесные Поляны 5-я,,Корниловская,Смарт Гарден ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308657215/,Москва,sale,flat,1,9,1,34.51,-1,0,7939295,2025,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","11,6 м²",11 м²,+74951375212,,,к1,Силикатная,Подольские Кварталы ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308966440/,Москва,sale,flat,2,9,1,42.02,-1,0,8182975,2026,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","12,8 м²","20,3 м²",+74951378825,,,к31,Рассказовка,Новое Внуково ЖК
ФСК,developer,https://www.cian.ru/sale/flat/308909742/,Москва,sale,flat,2,15,1,34.83,-1,0,8242451,2025,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","11,1 м²","14,6 м²",+74951387180,,,к1,Румянцево,Движение. Говорово ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308660224/,Москва,sale,flat,6,23,1,36.46,-1,0,8321125,2025,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","11,6 м²","12,1 м²",+74997048861,,,к2.3,Румянцево,Тропарево Парк
Самолет,developer,https://www.cian.ru/sale/flat/308650734/,Москва,sale,flat,6,8,1,39.34,-1,0,8324541,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая",11 м²,"17,8 м²",+74997153345,,,6,Рассказовка,Квартал Западный ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308648885/,Москва,sale,flat,5,9,1,33.13,-1,0,8504274,2024,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","10,4 м²",10 м²,+74951378825,,,к17,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308966740/,Москва,sale,flat,3,15,1,38.84,-1,0,8606111,2024,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","10,5 м²","19,2 м²",+74951374954,,,14,Щербинка,Алхимово ЖК
Самолет,developer,https://www.cian.ru/sale/flat/308655350/,Москва,sale,flat,8,16,1,40.3,-1,0,8580879,2024,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","14,9 м²","12,1 м²",+74999228924,,,4-5,Филатов Луг,Цветочные Поляны
Самолет,developer,https://www.cian.ru/sale/flat/308914714/,Москва,sale,flat,8,20,1,34.8,-1,0,8711411,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","12,2 м²",11 м²,+74997098514,,,15,Летово,Эко Бунино ЖК
ЦАН,real_estate_agent,https://www.cian.ru/sale/flat/308182462/,Москва,sale,flat,1,5,1,35.0,-1,0,8900000,1957,-1,-1,-1,-1,-1,5 м²,+79652857549,Марфино,Гостиничная ,10К5,Окружная,Апартаменты Алтай
Самолет,developer,https://www.cian.ru/sale/flat/308966461/,Москва,sale,flat,4,8,1,40.79,-1,0,8931864,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая",11 м²,"21,3 м²",+74951378825,,,к27,Рассказовка,Новое Внуково ЖК
А101,developer,https://www.cian.ru/sale/flat/306741744/,Москва,sale,flat,13,15,1,33.3,-1,0,8977547,2025,-1,Монолитно-кирпичный,-1,"Без отделки, предчистовая, чистовая","12,1 м²","9,3 м²",+74951370126,,,,Ольховая,Деснаречье ЖК
,,https://www.cian.ru/sale/flat/308762105/,Москва,sale,flat,2,16,1,34.79,-1,0,9010514,2026,-1,Монолитный,-1,"Без отделки, предчистовая, чистовая",-1,-1,+78005116552,поселок Газопровод, Лесные Поляны 5-я,,Корниловская,Смарт Гарден ЖК
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/309051808/,Москва,sale,flat,4,19,1,39.4,-1,0,9191662,2026,-1,"Панельный, монолитный",-1,"Без отделки, чистовая","12,5 м²",-1,+74951475836,,,,,Город-парк Первый Московский
ID 101040777,homeowner,https://www.cian.ru/sale/flat/307269146/,Москва,sale,flat,8,9,1,32.8,-1,0,9300000,1971,-1,-1,-1,-1,"18,9 м²","6,8 м²",+79192107123,Вешняки,Вешняковская ,35/26,Выхино,
ПИК,developer,https://www.cian.ru/sale/flat/306206903/,Москва,sale,flat,32,32,1,32.8,-1,0,9270165,2027,-1,Монолитный,-1,Чистовая,"8,8 м²",19 м²,+74951387182,Западное Дегунино,,,Речной вокзал,Бусиновский Парк ЖК
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/302755193/,Москва,sale,flat,2,12,1,38.7,-1,0,9500000,-1,-1,-1,-1,-1,"20,7 м²","8,5 м²",+79150238010,Лианозово,Абрамцевская ,2,Алтуфьево,
Самолет,developer,https://www.cian.ru/sale/flat/308648545/,Москва,sale,flat,10,14,1,49.29,-1,0,9458123,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, чистовая","15,8 м²","19,5 м²",+74951374063,,,к19,Щербинка,Остафьево ЖК
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/304057549/,Москва,sale,flat,2,20,1,42.7,-1,0,9729001,2027,-1,"Панельный, монолитный",-1,"Без отделки, чистовая","13,9 м²",-1,+74951475836,,,3,Филатов Луг,Город-парк Первый Московский
Самолет,developer,https://www.cian.ru/sale/flat/308913251/,Москва,sale,flat,13,16,1,37.89,-1,0,9815945,2027,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","11,8 м²","12,4 м²",+74951345087,Бирюлево Восточное,,к2,Орехово,Квартал Герцена ЖК
ПИК,developer,https://www.cian.ru/sale/flat/306206766/,Москва,sale,flat,5,32,1,36.4,-1,0,9915250,2027,-1,Монолитный,-1,Чистовая,11 м²,"19,2 м²",+74951387182,Западное Дегунино,,,Речной вокзал,Бусиновский Парк ЖК
Ордер,real_estate_agent,https://www.cian.ru/sale/flat/298431321/,Москва,sale,flat,2,17,1,36.2,-1,0,9950000,2003,-1,-1,-1,-1,"17,7 м²","10,1 м²",+79154398945,Бирюлево Восточное,Загорьевская ,21к1,Домодедовская,
Метражи group,real_estate_agent,https://www.cian.ru/sale/flat/307722427/,Москва,sale,flat,2,12,1,40.0,-1,0,9999000,-1,-1,-1,-1,-1,22 м²,9 м²,+79190205414,Ярославский, Проходчиков,10К1,Медведково,
СТРОЙИНВЕСТ,real_estate_agent,https://www.cian.ru/sale/flat/298213552/,Москва,sale,flat,2,17,1,37.3,-1,0,10200000,1984,-1,-1,-1,-1,19 м²,9 м²,+79857298913,Дмитровский,Клязьминская ,5К1,Грачёвская,
ПИК,developer,https://www.cian.ru/sale/flat/306207555/,Москва,sale,flat,5,32,1,37.7,-1,0,10178208,2026,-1,Монолитный,-1,Чистовая,"9,6 м²","19,2 м²",+74951387182,Западное Дегунино,,,Речной вокзал,Бусиновский Парк ЖК
А101,developer,https://www.cian.ru/sale/flat/306737412/,Москва,sale,flat,6,13,1,37.2,-1,0,10293175,2025,-1,"Монолитно-кирпичный, монолитный",-1,"Без отделки, предчистовая, черновая, чистовая","14,1 м²","13,4 м²",+74951379021,,м. Бунинская аллея,,Бунинская аллея,Скандинавия
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Дипломат,developer,https://krym.cian.ru/sale/flat/292124957/,Москва и МО,sale,flat,2,5,1,65.7,-1,0,24860880,2015,-1,-1,-1,Чистовая,"46,9 м²",-1,+78632098730,,,,,Резиденция Дипломат
ID 85604823,unknown,https://www.cian.ru/sale/flat/305768574/,Москва и МО,sale,flat,6,42,1,42.0,-1,0,29000000,2023,-1,-1,-1,-1,15 м²,12 м²,+79647714670,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Дипломат,developer,https://krym.cian.ru/sale/flat/292125018/,Москва и МО,sale,flat,2,8,2,66.0,-1,0,22622160,2015,-1,-1,-1,Чистовая,50 м²,-1,+78632098730,,,,,Резиденция Дипломат
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Дипломат,developer,https://krym.cian.ru/sale/flat/292125110/,Москва и МО,sale,flat,2,8,3,133.1,-1,0,58564000,2015,-1,-1,-1,Чистовая,"84,7 м²",-1,+78632098730,,,,,Резиденция Дипломат
ZIP Realty,real_estate_agent,https://www.cian.ru/sale/flat/308802493/,Москва и МО,sale,flat,10,20,3,110.7,-1,0,122000000,-1,-1,-1,-1,-1,65 м²,25 м²,+79856120994,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/301911033/,Москва и МО,sale,flat,18,20,4,127.0,-1,0,74295000,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая",84 м²,"6,4 м²",+74951387097,Басманный,,,Бауманская,Дом 56 ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/297733877/,Москва и МО,sale,flat,80,85,4,294.6,-1,0,412440000,-1,-1,-1,-1,-1,-1,-1,+79197672046,Пресненский,Московский международный деловой центр Москва-Сити тер.,,Деловой центр,
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
VESPER,developer,https://www.cian.ru/sale/flat/307211222/,Москва,sale,flat,8,9,1,57.6,-1,0,117936000,2023,-1,Монолитный,-1,"Без отделки, чистовая с мебелью",-1,-1,+74951387184,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
ID 85604823,unknown,https://www.cian.ru/sale/flat/305768574/,Москва,sale,flat,6,42,1,42.0,-1,0,29000000,2023,-1,-1,-1,-1,15 м²,12 м²,+79647714670,Хорошево-Мневники,Шелепихинская набережная,34к5,Шелепиха,Сердце Столицы
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308789447/,Москва,sale,flat,11,12,1,33.5,-1,0,8000000,1972,-1,-1,-1,-1,17 м²,7 м²,+79163568699,Чертаново Южное,3-й Дорожный проезд,6К1,Улица Академика Янгеля,
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243017/,Москва,sale,flat,2,27,1,45.7,-1,0,21798900,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","26,8 м²","7,8 м²",+74951387097,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
White and Broughton,real_estate_agent,https://www.cian.ru/sale/flat/299890518/,Москва,sale,flat,9,40,1,41.5,-1,0,32000000,-1,-1,-1,-1,-1,"23,4 м²","4,9 м²",+79646331510,Хорошевский,Ленинградский проспект,37/4,ЦСКА,Прайм Парк
PROНЕДВИЖИМОСТЬ,real_estate_agent,https://www.cian.ru/sale/flat/308552017/,Москва,sale,flat,5,12,1,35.0,-1,0,9500000,1969,-1,-1,-1,-1,"19,8 м²","9,8 м²",+79152322394,Богородское,1-я Гражданская ,99К1,Преображенская площадь,
VESPER,developer,https://www.cian.ru/sale/flat/306541560/,Москва,sale,flat,5,21,1,65.9,-1,0,82172522,2023,-1,Монолитный,-1,"Чистовая, чистовая с мебелью","18,8 м²","24,9 м²",+74951347641,Пресненский, Костикова,4к1,Улица 1905 года,Lucky
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
VESPER,developer,https://www.cian.ru/sale/flat/286258299/,Москва,sale,flat,5,9,2,104.2,-1,0,150958800,2023,-1,Монолитный,-1,"Без отделки, чистовая с мебелью",-1,28 м²,+74951387184,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/308553708/,Москва,sale,flat,9,12,2,88.0,-1,0,59350000,-1,-1,-1,-1,-1,-1,10 м²,+79057198567,Тверской,2-я Брестская ,6,Маяковская,Резиденция Тверская
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/306243037/,Москва,sale,flat,15,23,3,82.8,-1,0,39578400,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая","52,1 м²",10 м²,+74951387097,Басманный, Фридриха Энгельса,56С9,Бауманская,Дом 56
author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,year_of_construction,object_type,house_material_type,heating_type,finish_type,living_meters,kitchen_meters,phone,district,street,house_number,underground,residential_complex
Галс-Девелопмент,developer,https://www.cian.ru/sale/flat/301911033/,Москва,sale,flat,18,20,4,127.0,-1,0,74295000,2026,-1,Монолитно-кирпичный,-1,"Без отделки, чистовая",84 м²,"6,4 м²",+74951387097,Басманный,,,Бауманская,Дом 56 ЖК
SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/297733877/,Москва,sale,flat,80,85,4,294.6,-1,0,412440000,-1,-1,-1,-1,-1,-1,-1,+79197672046,Пресненский,Московский международный деловой центр Москва-Сити тер.,,Деловой центр,
