author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
VESPER;developer;https://www.cian.ru/sale/flat/307544571/;Москва;sale;flat;2;21;3;157.8;165216600;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308802493/;Москва;sale;flat;10;20;3;110.7;122000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 111783;homeowner;https://www.cian.ru/sale/flat/307780900/;Москва;sale;flat;5;14;3;104.0;29600000;Коптево; Космонавта Волкова;29К1;Красный Балтиец;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040443/;Москва;sale;flat;5;5;3;183.1;174494300;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов Театральный Дом
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/306567075/;Москва;sale;flat;2;10;3;115.0;101000000;Тверской;Большая Грузинская ;69;Белорусская;Четыре Ветра
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308568986/;Москва;sale;flat;5;9;3;59.0;23950000;Раменки;Винницкая ;17;Раменки;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259721/;Москва;sale;flat;19;42;3;65.9;30201484;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308825551/;Москва;sale;flat;2;12;3;106.2;53000000;Хорошевский;Ходынский бульвар;19;ЦСКА;Гранд-парк
Авеню-Мск;real_estate_agent;https://www.cian.ru/sale/flat/307220600/;Москва;sale;flat;1;5;3;65.1;17500000;Марьина роща;4-й Стрелецкий проезд;13;Савёловская;
VESPER;developer;https://www.cian.ru/sale/flat/308110877/;Москва;sale;flat;4;6;3;264.6;661500000;Пресненский;Трехпрудный переулок;9С2;Пушкинская;Клубный дом Левенсон
hoomie;real_estate_agent;https://www.cian.ru/sale/flat/305679858/;Москва;sale;flat;11;20;3;87.02;32910964;Даниловский;;;Тульская;Форст ЖК
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/300871845/;Москва;sale;flat;3;15;3;95.0;35000000;Пресненский;Зоологическая ;30С2;Баррикадная;
ANT Development;developer;https://www.cian.ru/sale/flat/303519403/;Москва;sale;flat;3;10;3;105.8;115430498;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/305736633/;Москва;sale;flat;35;41;3;97.4;95000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
ID 12693939;realtor;https://www.cian.ru/sale/flat/308367102/;Москва;sale;flat;24;28;3;71.0;38000000;Филевский парк;Береговой проезд;1Б;Шелепиха;мой адрес На Береговом
Главстрой;developer;https://www.cian.ru/sale/flat/307941294/;Москва;sale;flat;4;20;3;103.7;40291971;Филевский парк;Береговой проезд;2;Фили;Береговой-2
Правовой центр жилья;real_estate_agent;https://www.cian.ru/sale/flat/308734826/;Москва;sale;flat;3;8;3;121.3;206000000;Красносельский;Костянский переулок;13;Сретенский бульвар;Клубный дом TURGENEV
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308405573/;Москва;sale;flat;12;12;3;64.1;19999990;Академический;Большая Черемушкинская ;20К2;Академическая;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/306243037/;Москва;sale;flat;15;23;3;82.8;39578400;Басманный; Фридриха Энгельса;56С9;Бауманская;Дом 56
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/306447297/;Москва;sale;flat;13;21;3;130.0;155000000;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
ID 447844;homeowner;https://www.cian.ru/sale/flat/303627675/;Москва;sale;flat;7;23;3;95.2;37900000;Сокол;Факультетский переулок;6;Стрешнево;
MR Group;developer;https://www.cian.ru/sale/flat/300288094/;Москва;sale;flat;5;43;3;84.79;40300687;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/302398135/;Москва;sale;flat;5;17;3;105.0;130000000;Пресненский; Сергея Макеева;9к2;Улица 1905 года;RedSide
Дмитрий Асташов;realtor;https://www.cian.ru/sale/flat/307964340/;Москва;sale;flat;6;9;3;58.7;21000000;Академический;Большая Черемушкинская ;2К1;Крымская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/308080997/;Москва;sale;flat;2;6;3;118.66;195551680;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/296710178/;Москва;sale;flat;22;31;3;83.0;52000000;Раменки; Лобачевского;120к1;Аминьевская;Крылья
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/301496697/;Москва;sale;flat;3;5;3;82.9;42900000;Тверской;1-й Самотечный переулок;17А;Достоевская;
Среда;developer;https://www.cian.ru/sale/flat/304753723/;Москва;sale;flat;2;44;3;83.71;28859441;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306888870/;Москва;sale;flat;25;35;3;137.6;70000000;Щукино;Авиационная ;79К1;Щукинская;Алые Паруса
Марина Кузьмина;realtor;https://www.cian.ru/sale/flat/306000498/;Москва;sale;flat;3;6;3;67.0;19700000;Нагатино-Садовники;Нагатинская ;29К1;Коломенская;
MR Group;developer;https://www.cian.ru/sale/flat/306614056/;Москва;sale;flat;9;28;3;87.7;32115301;Даниловский;;;Павелецкая;Павелецкая Сити ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308896854/;Москва;sale;flat;7;14;3;206.0;288277199;Арбат;Малый Новопесковский переулок;8;Смоленская;Дом на Смоленской набережной
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/308074172/;Москва;sale;flat;8;11;3;134.5;90000000;Якиманка; Серафимовича;2;Боровицкая;
Главстрой;developer;https://www.cian.ru/sale/flat/307942465/;Москва;sale;flat;5;35;3;95.73;40514371;Котловка;31/2;31/2;Профсоюзная;Новые Академики ЖК
HOUSE MALL - Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/305275545/;Москва;sale;flat;11;20;3;117.1;46500000;Свиблово;проезд Серебрякова;11к1;Ботанический сад;Silver
Среда;developer;https://www.cian.ru/sale/flat/303859420/;Москва;sale;flat;3;13;3;71.3;24567484;Очаково-Матвеевское;Очаково мкр;;Аминьевская;Среда на Лобачевского
Tekta Group;developer;https://www.cian.ru/sale/flat/306178079/;Москва;sale;flat;14;34;3;59.3;28339470;Обручевский;;;Калужская;Эвер ЖК
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/307587007/;Москва;sale;flat;5;5;3;92.4;75000000;Пресненский;Мерзляковский переулок;13;Арбатская;
BERI;real_estate_agent;https://www.cian.ru/sale/flat/305314134/;Москва;sale;flat;10;16;3;65.7;24990000;Таганский;Библиотечная ;13;Площадь Ильича;
MR Group;developer;https://www.cian.ru/sale/flat/308909146/;Москва;sale;flat;11;13;3;141.9;252851610;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/306947550/;Москва;sale;flat;3;6;3;72.0;30000000;Тверской;Новослободская ;73К3;Савёловская;
НДВ;real_estate_agent;https://www.cian.ru/sale/flat/304590085/;Москва;sale;flat;4;11;3;80.0;41900000;Свиблово;Лазоревый проезд;1;Ботанический сад;LIFE-Ботанический сад
Sminex;developer;https://www.cian.ru/sale/flat/293713709/;Москва;sale;flat;2;14;3;142.1;309370000;Якиманка;;;Полянка;Лаврушинский ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303766764/;Москва;sale;flat;2;4;3;137.9;275110500;Хамовники;Пречистенская набережная;7;Парк Культуры;Кленовый DOM
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303848561/;Москва;sale;flat;8;29;3;80.0;36900000;Раменки;Мосфильмовская ;74Б;Ломоносовский проспект;Мосфильмовская
TOUCH;developer;https://www.cian.ru/sale/flat/302838498/;Москва;sale;flat;6;13;3;75.37;41550880;Южнопортовый;;к3;Дубровка;Шампайн ЖК
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/291925257/;Москва;sale;flat;3;9;3;148.5;189000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/307817649/;Москва;sale;flat;4;25;3;81.0;22900000;Рязанский; Васильцовский Стан;7к1;Текстильщики;
Пионер;developer;https://www.cian.ru/sale/flat/301459890/;Москва;sale;flat;7;18;3;84.9;60621401;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/304304141/;Москва;sale;flat;7;18;3;89.7;98000000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/308753890/;Москва;sale;flat;6;16;3;73.4;19500000;Теплый Стан; Академика Варги;36;Генерала Тюленева;
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065721/;Москва;sale;flat;2;18;3;118.1;134761000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/304330107/;Москва;sale;flat;11;14;3;242.97;328500000;Хамовники; Усачева;11;Спортивная;Садовые кварталы
Level Group;developer;https://www.cian.ru/sale/flat/308766339/;Москва;sale;flat;2;6;3;137.5;265730061;Хамовники;Саввинская набережная;27;Спортивная;Саввинская 27 от Level
Ташир;developer;https://www.cian.ru/sale/flat/308803040/;Москва;sale;flat;25;32;3;83.7;;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/300298619/;Москва;sale;flat;8;12;3;136.5;102000000;Раменки; Сергея Бондарчука;4;Мичуринский проспект;Река
Capital Group;developer;https://www.cian.ru/sale/flat/296119400/;Москва;sale;flat;2;4;3;135.3;207000000;Якиманка;Софийская набережная;10;;Золотой, жилой квартал
ID 65939370;unknown;https://www.cian.ru/sale/flat/307114785/;Москва;sale;flat;3;25;3;131.2;51900000;Очаково-Матвеевское;Нежинская ;8К4;Матвеевская;Нежинский ковчег
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/307566350/;Москва;sale;flat;2;16;3;74.0;17800000;Орехово-Борисово Северное;Каширское шоссе;90к1;Домодедовская;
EraOneHolding;developer;https://www.cian.ru/sale/flat/299053644/;Москва;sale;flat;7;8;3;128.6;128600000;Арбат; Арбат;24;Смоленская;Turandot Residences
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/306942080/;Москва;sale;flat;37;41;3;97.2;72300000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
Юлия Иванова;realtor;https://www.cian.ru/sale/flat/308326285/;Москва;sale;flat;5;12;3;72.0;43500000;Даниловский; Виктора Маслова;2;Автозаводская;RiverSky
КОРТРОС;developer;https://www.cian.ru/sale/flat/296640175/;Москва;sale;flat;5;49;3;79.14;32051700;Марьина роща;;;Марьина Роща;Тэйт ЖК
Apple Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/303228319/;Москва;sale;flat;5;21;3;116.78;115000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/302537359/;Москва;sale;flat;2;14;3;120.0;89000000;Замоскворечье;Мытная ;7с2;Серпуховская;Английский квартал
Sense Development;developer;https://www.cian.ru/sale/flat/304888591/;Москва;sale;flat;10;13;3;103.6;62517091;Даниловский; Даниловский Вал;1А;Тульская;Logos
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/300822468/;Москва;sale;flat;5;21;3;117.0;114000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308038194/;Москва;sale;flat;8;12;3;65.7;26610000;Раменки;Мичуринский проспект;54К2;Раменки;
MR Group;developer;https://www.cian.ru/sale/flat/308088572/;Москва;sale;flat;2;7;3;192.99;463176000;Арбат;Крестовоздвиженский переулок;4;Арбатская;LUCE
NIKA ESTATE;real_estate_agent;https://www.cian.ru/sale/flat/300973858/;Москва;sale;flat;7;41;3;91.2;80000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
TimeProperty;real_estate_agent;https://www.cian.ru/sale/flat/293666231/;Москва;sale;flat;20;43;3;84.2;37500000;Хорошево-Мневники;Шелепихинская набережная;34к7;Шелепиха;Сердце Столицы
Киноцентр;developer;https://www.cian.ru/sale/flat/308070372/;Москва;sale;flat;8;20;3;89.7;75348000;Пресненский; Красная Пресня;3;Краснопресненская;SkyView
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/307310125/;Москва;sale;flat;3;5;3;112.0;85000000;Хамовники;Комсомольский проспект;42С2;Спортивная;Clerkenwell House
MOD Estate;real_estate_agent;https://www.cian.ru/sale/flat/303732989/;Москва;sale;flat;29;33;3;72.8;23999000;Отрадное;Сигнальный проезд;16к1;Владыкино;Сигнальный 16
Группа Родина;developer;https://www.cian.ru/sale/flat/307275674/;Москва;sale;flat;2;11;3;63.8;31523248;Можайский;;;Давыдково;Родина Парк ЖК
Феликс;real_estate_agent;https://www.cian.ru/sale/flat/283840624/;Москва;sale;flat;3;13;3;149.2;68000000;Тверской;Долгоруковская ;6;Новослободская;
MOD Estate;real_estate_agent;https://www.cian.ru/sale/flat/307449781/;Москва;sale;flat;14;22;3;112.0;68000000;Хорошево-Мневники;Живописная ;21А;Серебряный Бор;Дом Серебряный Бор
СТ Тауэрс;developer;https://www.cian.ru/sale/flat/304149603/;Москва;sale;flat;65;66;3;85.8;84942000;Пресненский;1-й Красногвардейский проезд;22с1;Москва-Сити;NEVA TOWERS
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/282554703/;Москва;sale;flat;7;18;3;90.4;45000000;Беговой;Ленинградский проспект;29к1;Динамо;Царская площадь
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/296139192/;Москва;sale;flat;24;44;3;69.0;31700000;Пресненский;Ходынская ;2;Улица 1905 года;Пресня Сити
PIONEER;developer;https://www.cian.ru/sale/flat/306809961/;Москва;sale;flat;2;22;3;80.8;36120508;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Yhome;real_estate_agent;https://www.cian.ru/sale/flat/308955512/;Москва;sale;flat;5;21;3;117.0;115000000;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
Ольга Хабнер;realtor;https://www.cian.ru/sale/flat/305467920/;Москва;sale;flat;5;8;3;63.0;32500000;Ломоносовский; Крупской;13;Новаторская;
Ташир;developer;https://www.cian.ru/sale/flat/274701224/;Москва;sale;flat;2;17;3;72.6;43233300;Раменки;Мичуринский проспект;вл30Б;Ломоносовский проспект;Legacy
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/307716792/;Москва;sale;flat;22;22;3;93.5;33000000;Хорошевский;1-я Магистральная ;25;Хорошёвская;Сити-комплекс Мята
Донстрой;developer;https://www.cian.ru/sale/flat/306643466/;Москва;sale;flat;48;50;3;96.1;41092360;Раменки;м. Мичуринский проспект;;Мичуринский проспект;Событие
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/292500097/;Москва;sale;flat;7;21;3;82.0;103000000;Пресненский;2-я Звенигородская ;14;Улица 1905 года;Lucky
OXE CAPITAL - Элитная Недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/308878043/;Москва;sale;flat;13;21;3;76.1;76000000;Пресненский;2-я Черногрязская ;6к4;Улица 1905 года;RedSide
Мангазея;developer;https://www.cian.ru/sale/flat/308903093/;Москва;sale;flat;6;41;3;95.1;45448290;Даниловский;Большая Тульская ;10С5;Тульская;Мангазея на Тульской
PEOPLE;real_estate_agent;https://www.cian.ru/sale/flat/300294429/;Москва;sale;flat;6;21;3;112.5;150000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308346343/;Москва;sale;flat;19;22;3;114.7;63500000;Донской; Вавилова;2;Ленинский проспект;Нескучный сад
Sminex;developer;https://www.cian.ru/sale/flat/308011952/;Москва;sale;flat;1;6;3;418.5;1226820000;Хамовники;3-й Обыденский переулок;1С1;Кропоткинская;Клубный дом Обыденский № 1
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/307793369/;Москва;sale;flat;35;41;3;98.0;95000000;Хорошевский;Ленинградский проспект;37/3;Аэропорт;Прайм Парк
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/306655775/;Москва;sale;flat;6;6;3;135.0;76900000;Красносельский;Уланский переулок;14кБ;Красные ворота;
Tekta Group;developer;https://www.cian.ru/sale/flat/306368148/;Москва;sale;flat;4;32;3;57.6;32808960;Даниловский;;2;Павелецкая;Эра ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/308405077/;Москва;sale;flat;32;36;3;113.0;129000000;Хорошевский;Ленинградский проспект;37/4;ЦСКА;Прайм Парк
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/290884000/;Москва;sale;flat;3;24;3;107.6;73000000;Беговой;Верхняя ;20к1;Белорусская;Суббота
Основа;developer;https://www.cian.ru/sale/flat/291982902/;Москва;sale;flat;10;15;3;162.9;46426500;Фили-Давыдково; Ивана Франко;6;Кунцевская;MainStreet
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/263883005/;Москва;sale;flat;4;24;3;136.0;96000000;Раменки;Ломоносовский проспект;25к3;Университет;Dominion
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308136515/;Москва;sale;flat;6;12;3;120.9;72200000;Мещанский;Протопоповский переулок;17С2;Проспект Мира;
КОРТРОС;developer;https://www.cian.ru/sale/flat/307676459/;Москва;sale;flat;18;51;3;93.57;39580110;Пресненский;Шелепихинское шоссе;;Шелепиха;Headliner
ФОРА;real_estate_agent;https://www.cian.ru/sale/flat/303674227/;Москва;sale;flat;6;6;3;137.7;44500000;Хорошевский;2-й Хорошевский проезд;9К1;Беговая;
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/308359079/;Москва;sale;flat;2;16;3;68.4;18990000;Южное Бутово; Поляны;5Ак1;Улица Скобелевская;Столичные поляны
Концерн КРОСТ;developer;https://www.cian.ru/sale/flat/298380290/;Москва;sale;flat;3;19;3;86.5;38665500;Щукино; Ротмистрова;2;Октябрьское поле;Театральный квартал
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/297922335/;Москва;sale;flat;3;7;3;95.7;106990000;Замоскворечье;Садовническая ;57С1;Павелецкая;Wine House
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/308397152/;Москва;sale;flat;4;9;3;60.0;17500000;Теплый Стан; Академика Виноградова;6;Генерала Тюленева;
Capital Group;developer;https://www.cian.ru/sale/flat/295988623/;Москва;sale;flat;36;67;3;96.4;105000000;Пресненский;Краснопресненская набережная;14Ак2;Москва-Сити;Capital Towers
Kalinka Group;real_estate_agent;https://www.cian.ru/sale/flat/247174958/;Москва;sale;flat;8;53;3;150.0;135000000;Раменки;Мосфильмовская ;8;Ломоносовский проспект;Дом на Мосфильмовской
Славянский Двор Остоженка;real_estate_agent;https://www.cian.ru/sale/flat/296833235/;Москва;sale;flat;22;23;3;163.0;56000000;Проспект Вернадского;Ленинский проспект;116К1;Новаторская;
Основа;developer;https://www.cian.ru/sale/flat/286250337/;Москва;sale;flat;15;19;3;71.8;53850000;Красносельский;проспект Академика Сахарова;7;Красные ворота;RED7
Intermark Real Estate;real_estate_agent;https://www.cian.ru/sale/flat/308417951/;Москва;sale;flat;5;7;3;74.0;41500000;"Кв-ра ""под ключ"" в Басманном е3-комн. квартира";74 м²;5/7 этаж;;
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/298324265/;Москва;sale;flat;2;7;3;97.1;43900000;Донской;Ленинский проспект;35;Ленинский проспект;
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307677350/;Москва;sale;flat;5;12;3;136.9;250000000;Хамовники; Усачева;13;Спортивная;Садовые кварталы
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/307315277/;Москва;sale;flat;17;17;3;89.6;22200000;; Никитина;11к1;Рассказовка;
MR Group;developer;https://www.cian.ru/sale/flat/307999594/;Москва;sale;flat;6;59;3;58.5;19515600;Можайский;Верейская ;29С32А;Давыдково;SET
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307933190/;Москва;sale;flat;6;11;3;113.0;158200000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
BERI;real_estate_agent;https://www.cian.ru/sale/flat/308089669/;Москва;sale;flat;4;6;3;75.0;71250000;Хамовники;переулок Плотников;10;Смоленская;
Стадион Спартак;developer;https://www.cian.ru/sale/flat/282960151/;Москва;sale;flat;2;13;3;79.3;38833210;Покровское-Стрешнево;Вивальди кв-л;;Спартак;Клубный Город на Реке Примавера ЖК
BRIGHT ESTATE - городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/307933191/;Москва;sale;flat;3;14;3;105.2;147000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
А101;developer;https://www.cian.ru/sale/flat/306745602/;Москва;sale;flat;4;9;3;59.6;9547545;;;2;Толстопальцево;Родные кварталы ЖК
MR Group;developer;https://www.cian.ru/sale/flat/307788179/;Москва;sale;flat;18;47;3;81.43;37261472;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
MONEYARD;real_estate_agent;https://www.cian.ru/sale/flat/300741474/;Москва;sale;flat;41;44;3;86.4;40200000;Хорошево-Мневники;к2/2;к2/2;Шелепиха;Сидней Сити ЖК
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/305340828/;Москва;sale;flat;3;6;3;84.6;59900000;Пресненский;Трехпрудный переулок;11/13С1;Маяковская;
Regions Development;developer;https://www.cian.ru/sale/flat/308070822/;Москва;sale;flat;2;24;3;72.1;;Нагатинский затон;проспект Андропова;9/1к2;Технопарк;Dream Towers
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/306835373/;Москва;sale;flat;15;24;3;85.0;110000000;Пресненский;Мантулинская ;9к5;Москва-Сити;City Park
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/306706891/;Москва;sale;flat;26;30;3;122.4;48900000;Южнопортовый; 1-я Машиностроения;10;Дубровка;Дубровская Слобода
Аеон-Девелопмент;developer;https://www.cian.ru/sale/flat/301173869/;Москва;sale;flat;4;46;3;90.2;64106527;Дорогомилово;Кутузовский проезд;16А/1;Фили;River Park Кутузовский
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/307711502/;Москва;sale;flat;6;7;3;127.8;176000000;Пресненский;2-я Черногрязская ;6к1;Улица 1905 года;RedSide
RND;real_estate_agent;https://www.cian.ru/sale/flat/304510329/;Москва;sale;flat;4;7;3;142.2;49900000;Таганский;2-й Сыромятнический переулок;10;Курская;
РГ-Девелопмент;developer;https://www.cian.ru/sale/flat/301985153/;Москва;sale;flat;6;25;3;94.6;38514876;Савеловский;Старый Петровско-Разумовский проезд;1/23С5;Гражданская;Петровский парк II
